"","Week_index","Region","value"
"678",666,"Autonomous Province of Trento",21.7777777777778
"679",666,"Canton of Ticino",5.5
"680",666,"Emilia-Romagna",104.666666666667
"681",666,"Sicily",25
"682",667,"Autonomous Province of Trento",13.9444444444444
"683",667,"Canton of Ticino",12.5
"684",667,"Emilia-Romagna",NA
"685",667,"Sicily",24
"686",668,"Autonomous Province of Trento",1.22222222222222
"687",668,"Canton of Ticino",15.75
"688",668,"Emilia-Romagna",NA
"689",668,"Sicily",27.5
"690",669,"Autonomous Province of Trento",0.0555555555555555
"691",669,"Canton of Ticino",0
"692",669,"Emilia-Romagna",NA
"693",669,"Sicily",2.5
"694",670,"Autonomous Province of Trento",4.22222222222222
"695",670,"Canton of Ticino",0
"696",670,"Emilia-Romagna",NA
"697",670,"Sicily",4
"698",671,"Autonomous Province of Trento",2
"699",671,"Canton of Ticino",0
"700",671,"Emilia-Romagna",0
"701",671,"Sicily",NA
"702",672,"Autonomous Province of Trento",2
"703",672,"Canton of Ticino",0
"704",672,"Emilia-Romagna",0
"705",672,"Sicily",0
"706",673,"Autonomous Province of Trento",4
"707",673,"Canton of Ticino",0
"708",673,"Emilia-Romagna",0
"709",673,"Sicily",0
"710",674,"Autonomous Province of Trento",4
"711",674,"Canton of Ticino",0
"712",674,"Emilia-Romagna",0
"713",674,"Sicily",25
"714",675,"Autonomous Province of Trento",4
"715",675,"Canton of Ticino",0
"716",675,"Emilia-Romagna",0
"717",675,"Sicily",NA
"718",676,"Autonomous Province of Trento",0
"719",676,"Canton of Ticino",0
"720",676,"Emilia-Romagna",0
"721",676,"Sicily",0
"722",677,"Autonomous Province of Trento",0
"723",677,"Canton of Ticino",0
"724",677,"Emilia-Romagna",0
"725",677,"Sicily",0
"726",678,"Autonomous Province of Trento",0
"727",678,"Canton of Ticino",0
"728",678,"Emilia-Romagna",0
"729",678,"Sicily",0
"730",679,"Autonomous Province of Trento",0
"731",679,"Canton of Ticino",0
"732",679,"Emilia-Romagna",0
"733",679,"Sicily",0
"734",680,"Autonomous Province of Trento",0
"735",680,"Canton of Ticino",0
"736",680,"Emilia-Romagna",0
"737",680,"Puglia",0
"738",680,"Sicily",0
"739",681,"Autonomous Province of Trento",0
"740",681,"Canton of Ticino",0
"741",681,"Emilia-Romagna",0
"742",681,"Puglia",0
"743",681,"Sicily",0
"744",682,"Autonomous Province of Trento",0
"745",682,"Canton of Ticino",0
"746",682,"Emilia-Romagna",0
"747",682,"Puglia",0
"748",682,"Sicily",0
"749",683,"Autonomous Province of Trento",0
"750",683,"Canton of Ticino",0
"751",683,"Emilia-Romagna",0
"752",683,"Puglia",0
"753",683,"Sicily",0
"754",684,"Autonomous Province of Trento",0
"755",684,"Canton of Ticino",0
"756",684,"Emilia-Romagna",0
"757",684,"Puglia",0
"758",684,"Sicily",0
"759",685,"Autonomous Province of Trento",0
"760",685,"Canton of Ticino",0
"761",685,"Emilia-Romagna",0
"762",685,"Puglia",0
