"","Week_index","Province","MOI"
"720",979,"Hunan",3.81
"721",980,"Beijing",NA
"722",980,"Guangdong",5.271028037
"723",980,"Guangxi",3.121621622
"724",980,"Guizhou",3.96
"725",980,"Hunan",0.86
"726",981,"Beijing",NA
"727",981,"Guangdong",5.271028037
"728",981,"Guangxi",3.121621622
"729",981,"Guizhou",3.96
"730",981,"Hunan",0.86
"731",982,"Beijing",NA
"732",982,"Guangdong",4.18157543385714
"733",982,"Guangxi",3.121621622
"734",982,"Guizhou",3.96
"735",982,"Hunan",0.86
"736",983,"Beijing",NA
"737",983,"Guangdong",4
"738",983,"Guangxi",3.121621622
"739",983,"Guizhou",3.96
"740",983,"Hunan",0.86
"741",984,"Beijing",NA
"742",984,"Guangdong",4.04272363142857
"743",984,"Guangxi",2.79729729742857
"744",984,"Guizhou",3.96
"745",984,"Hunan",0.86
"746",985,"Beijing",NA
"747",985,"Guangdong",4.074766355
"748",985,"Guangxi",2.554054054
"749",985,"Guizhou",NA
"750",985,"Hunan",NA
"751",986,"Beijing",NA
"752",986,"Guangdong",3.64218958614286
"753",986,"Guangxi",2.554054054
"754",986,"Guizhou",NA
"755",986,"Hunan",NA
"756",987,"Beijing",NA
"757",987,"Guangdong",3.065420561
"758",987,"Guangxi",2.554054054
"759",987,"Guizhou",NA
"760",987,"Hunan",NA
"761",988,"Beijing",NA
"762",988,"Guangdong",3.065420561
"763",988,"Guangxi",2.554054054
"764",988,"Guizhou",NA
"765",988,"Hunan",NA
"766",989,"Beijing",NA
"767",989,"Guangdong",NA
"768",989,"Guangxi",NA
"769",989,"Guizhou",NA
"770",989,"Hunan",NA
"771",990,"Beijing",NA
"772",990,"Guangdong",NA
"773",990,"Guangxi",NA
"774",990,"Guizhou",NA
"775",990,"Hunan",NA
"776",991,"Beijing",NA
"777",991,"Guangdong",NA
"778",991,"Guangxi",NA
"779",991,"Guizhou",NA
"780",991,"Hunan",NA
"781",992,"Beijing",NA
"782",992,"Guangdong",NA
"783",992,"Guangxi",NA
"784",992,"Guizhou",NA
"785",992,"Hunan",NA
"786",993,"Beijing",NA
"787",993,"Guangdong",NA
"788",993,"Guangxi",NA
"789",993,"Guizhou",NA
"790",993,"Hunan",NA
"791",994,"Beijing",NA
"792",994,"Guangdong",NA
"793",994,"Guangxi",NA
"794",994,"Guizhou",NA
"795",994,"Hunan",NA
"796",995,"Beijing",NA
"797",995,"Guangdong",NA
"798",995,"Guangxi",NA
"799",995,"Guizhou",NA
"800",995,"Hunan",NA
"801",996,"Beijing",NA
"802",996,"Guangdong",NA
"803",996,"Guangxi",NA
"804",996,"Guizhou",NA
"805",996,"Hunan",NA
"806",997,"Beijing",NA
"807",997,"Guangdong",NA
"808",997,"Guangxi",NA
"809",997,"Guizhou",NA
"810",997,"Hunan",NA
"811",998,"Beijing",NA
"812",998,"Guangdong",NA
"813",998,"Guangxi",NA
"814",998,"Guizhou",NA
"815",998,"Hunan",NA
"816",999,"Beijing",NA
"817",999,"Guangdong",NA
"818",999,"Guangxi",NA
"819",999,"Guizhou",NA
"820",999,"Hunan",NA
"821",1000,"Beijing",NA
"822",1000,"Guangdong",NA
"823",1000,"Guangxi",NA
"824",1000,"Guizhou",NA
"825",1000,"Hunan",NA
"826",1001,"Beijing",NA
"827",1001,"Guangdong",1.831775701
"828",1001,"Guangxi",NA
"829",1001,"Guizhou",NA
"830",1001,"Hunan",NA
"831",1002,"Beijing",NA
"832",1002,"Guangdong",1.831775701
"833",1002,"Guangxi",NA
"834",1002,"Guizhou",NA
"835",1002,"Hunan",NA
"836",1003,"Beijing",NA
"837",1003,"Guangdong",2.184245661
"838",1003,"Guangxi",NA
"839",1003,"Guizhou",NA
"840",1003,"Hunan",NA
"841",1004,"Beijing",NA
"842",1004,"Guangdong",3.065420561
"843",1004,"Guangxi",NA
"844",1004,"Guizhou",NA
"845",1004,"Hunan",NA
"846",1005,"Beijing",NA
"847",1005,"Guangdong",3.065420561
"848",1005,"Guangxi",NA
"849",1005,"Guizhou",NA
"850",1005,"Hunan",NA
"851",1006,"Beijing",NA
"852",1006,"Guangdong",4.037383178
"853",1006,"Guangxi",1.797297297
"854",1006,"Guizhou",NA
"855",1006,"Hunan",NA
"856",1007,"Beijing",NA
"857",1007,"Guangdong",4.037383178
"858",1007,"Guangxi",1.797297297
"859",1007,"Guizhou",NA
"860",1007,"Hunan",NA
"861",1008,"Beijing",NA
"862",1008,"Guangdong",4.58210947914286
"863",1008,"Guangxi",5.85135135128571
"864",1008,"Guizhou",NA
"865",1008,"Hunan",NA
"866",1009,"Beijing",NA
